,level_0,level_1,cosine,euclidean,hamming,psnr,ssim
99,/home/epicra/YT8M/videos/7/Blues Guitar Epiphone Riviera!!!  (slide playing on open G).mp4,720:1280,0.1732527970246876,11.34105911645998,0.5627777777777777,41.228358252619394,0.9778103154501705
100,/home/epicra/YT8M/videos/7/British Airways B747- 400 Docking_Push-Back_Engine Start up_Taxi _Takeoff 34L Sydney Airport (HD).mp4,240:426,0.26331277063626685,14.569547722046503,0.8311111111111112,37.278372866573825,0.9582090588358266
101,/home/epicra/YT8M/videos/7/British Airways B747- 400 Docking_Push-Back_Engine Start up_Taxi _Takeoff 34L Sydney Airport (HD).mp4,360:640,0.26712171935948864,14.917603734367788,0.8161111111111111,38.311226636183555,0.9665250487559923
102,/home/epicra/YT8M/videos/7/British Airways B747- 400 Docking_Push-Back_Engine Start up_Taxi _Takeoff 34L Sydney Airport (HD).mp4,480:854,0.2519482256783837,14.039498441391238,0.7911111111111111,40.37696184331421,0.979039557159432
103,/home/epicra/YT8M/videos/7/British Airways B747- 400 Docking_Push-Back_Engine Start up_Taxi _Takeoff 34L Sydney Airport (HD).mp4,720:1280,0.24412239038150532,13.501647923341663,0.7266666666666667,41.71899932001229,0.9833706185529453
104,/home/epicra/YT8M/videos/7/CAT D6K LGP at Zielger.mp4,240:426,0.26755666364303043,14.96595583730531,0.8577777777777779,31.316305673001036,0.8493036765280841
105,/home/epicra/YT8M/videos/7/CAT D6K LGP at Zielger.mp4,360:640,0.2646497600381449,14.877710716030796,0.8294444444444445,32.45975621418414,0.9132317095734183
106,/home/epicra/YT8M/videos/7/CAT D6K LGP at Zielger.mp4,480:854,0.2474973436283777,13.896625849923646,0.7650000000000001,34.360627302406286,0.9538850160848749
107,/home/epicra/YT8M/videos/7/CAT D6K LGP at Zielger.mp4,720:1280,0.2051095297067876,12.712173073198375,0.6722222222222222,36.144706435621046,0.9672418799131565
108,/home/epicra/YT8M/videos/7/CS -GO с ширпотреба до НОЖА!!! #8 Растем!.mp4,240:426,0.10746997466144093,9.450292683610735,1.0,42.03993509225366,0.9916310759453141
109,/home/epicra/YT8M/videos/7/CS -GO с ширпотреба до НОЖА!!! #8 Растем!.mp4,360:640,0.043695199671010786,5.477225575051659,0.20000000000000004,43.67943721774004,0.9932959801592189
110,/home/epicra/YT8M/videos/7/CS -GO с ширпотреба до НОЖА!!! #8 Растем!.mp4,480:854,0.3697339192127634,15.779733838059501,1.0,46.929638294848324,0.9967503924565152
111,/home/epicra/YT8M/videos/7/CS -GO с ширпотреба до НОЖА!!! #8 Растем!.mp4,720:1280,0.22160295786134385,12.569805089976535,0.7999999999999999,50.46885130828311,0.9982207745626572
112,/home/epicra/YT8M/videos/7/Cadabra - 'Hagamos el amor' (Videoclip Oficial).mp4,240:426,0.2858870145975537,15.112229891946713,0.9006666666666667,39.13578778656033,0.9693285316489179
113,/home/epicra/YT8M/videos/7/Cadabra - 'Hagamos el amor' (Videoclip Oficial).mp4,360:640,0.28820721267517585,15.201432796683125,0.8959999999999999,40.53345564408214,0.9748966901690728
114,/home/epicra/YT8M/videos/7/Cadabra - 'Hagamos el amor' (Videoclip Oficial).mp4,480:854,0.2780113308292718,14.902103761311594,0.8993333333333335,43.144264927021986,0.9858436938749652
115,/home/epicra/YT8M/videos/7/Cadabra - 'Hagamos el amor' (Videoclip Oficial).mp4,720:1280,0.2674562074087167,15.007577044650679,0.8986666666666666,44.59261720251299,0.9884091798635652
116,/home/epicra/YT8M/videos/7/Cattle_trailers_eng.mp4,240:426,0.3512931387896538,16.792458127471747,0.8266666666666665,34.468139508520856,0.9240313000229068
117,/home/epicra/YT8M/videos/7/Cattle_trailers_eng.mp4,360:640,0.2891951144813014,15.448294403082805,0.8166666666666665,35.79964753439809,0.9445672464600308
118,/home/epicra/YT8M/videos/7/Cattle_trailers_eng.mp4,480:854,0.29940952637143764,15.5352109039009,0.8200000000000003,38.51040431878516,0.971281697379434
119,/home/epicra/YT8M/videos/7/Cattle_trailers_eng.mp4,720:1280,0.2580407972800471,14.257343845389075,0.7853333333333334,40.6429795908019,0.9792571540231724
120,/home/epicra/YT8M/videos/7/Championnat National - Journée 33 - Les buts.mp4,240:426,0.2834030665372408,15.465907632674707,0.8766666666666666,34.061527369179245,0.8653045856128905
121,/home/epicra/YT8M/videos/7/Championnat National - Journée 33 - Les buts.mp4,360:640,0.2644344831199908,14.905261819099792,0.88,36.01825063574386,0.9225644089191697
122,/home/epicra/YT8M/videos/7/Championnat National - Journée 33 - Les buts.mp4,480:854,0.27165778919514394,15.15395009270952,0.852,38.34167079462336,0.9557958655544451
123,/home/epicra/YT8M/videos/7/Championnat National - Journée 33 - Les buts.mp4,720:1280,0.26387719844465096,14.718301117291164,0.8433333333333332,39.83178723560813,0.9670048643035556
124,/home/epicra/YT8M/videos/7/Cindy Ciser - Disco (official music video).mp4,240:426,0.24683356635434275,14.688152356978476,0.8666666666666667,31.76863969099898,0.651058344708556
125,/home/epicra/YT8M/videos/7/Cindy Ciser - Disco (official music video).mp4,360:640,0.2451545975562052,14.480745679328379,0.8375,31.865436926127927,0.683798878705815
126,/home/epicra/YT8M/videos/7/Cindy Ciser - Disco (official music video).mp4,480:854,0.26109190704871693,14.777858265000711,0.8597222222222222,31.834755306082894,0.7040181346100551
127,/home/epicra/YT8M/videos/7/Cindy Ciser - Disco (official music video).mp4,720:1280,0.2581470109422465,14.77951684829607,0.8722222222222222,31.851462691777147,0.731451798403414
128,/home/epicra/YT8M/videos/7/Cirkusrevyen 1967 - Sonny boy (Dirch Passer).mp4,240:426,0.2449867216366912,13.261619395171852,0.6594444444444444,40.639508880736166,0.9787596319634457
129,/home/epicra/YT8M/videos/7/Cirkusrevyen 1967 - Sonny boy (Dirch Passer).mp4,360:640,0.2603231549596937,13.145732753799619,0.6561111111111111,40.59446734198797,0.9757184662638544
130,/home/epicra/YT8M/videos/7/Cirkusrevyen 1967 - Sonny boy (Dirch Passer).mp4,480:854,0.1989623909661192,10.293109764037622,0.4972222222222222,43.18950883662977,0.984524069470163
131,/home/epicra/YT8M/videos/7/Cirkusrevyen 1967 - Sonny boy (Dirch Passer).mp4,720:1280,0.19353755333165953,11.099562551966974,0.5361111111111111,44.83236190187984,0.9877367740971384
132,/home/epicra/YT8M/videos/7/Como decorar canetas  Rápido e Fácil.mp4,240:426,0.2266428697219003,13.467433781000572,0.7284722222222223,38.730514428300836,0.9670849532085913
133,/home/epicra/YT8M/videos/7/Como decorar canetas  Rápido e Fácil.mp4,360:640,0.2356704392006579,13.740966397822708,0.7222222222222222,41.64821947751742,0.9803769350986954
134,/home/epicra/YT8M/videos/7/Como decorar canetas  Rápido e Fácil.mp4,480:854,0.19927641229009216,12.314647262281165,0.6291666666666668,43.947796427267214,0.9863384382011868
135,/home/epicra/YT8M/videos/7/Como decorar canetas  Rápido e Fácil.mp4,720:1280,0.19556298388816348,12.13320790702023,0.6,45.73587980293752,0.9895232109844718
136,/home/epicra/YT8M/videos/7/Compra e venda de casa de madeira cascavel .região.mp4,240:426,0.2665559584882178,15.227575697515396,0.8177777777777778,31.62203706114748,0.8304934602024246
137,/home/epicra/YT8M/videos/7/Compra e venda de casa de madeira cascavel .região.mp4,360:640,0.24113557047116066,14.18200242923005,0.7755555555555556,32.79905601570584,0.8920295892729526
138,/home/epicra/YT8M/videos/7/Compra e venda de casa de madeira cascavel .região.mp4,480:854,0.2261627593214551,13.88352665867091,0.7505555555555555,34.15670076074734,0.9360444458605847
139,/home/epicra/YT8M/videos/7/Compra e venda de casa de madeira cascavel .região.mp4,720:1280,0.21721195739601948,13.282706218394186,0.6933333333333335,35.317728358876124,0.9498571036780264
140,/home/epicra/YT8M/videos/7/Cose da fare su GTA V Parte 2.mp4,240:426,0.2712721132390404,15.252876267654578,0.8850000000000001,29.65783995599642,0.510271428014945
141,/home/epicra/YT8M/videos/7/Cose da fare su GTA V Parte 2.mp4,360:640,0.26515143565803895,15.032730279980118,0.868888888888889,30.52325958779655,0.5743692030231033
142,/home/epicra/YT8M/videos/7/Cose da fare su GTA V Parte 2.mp4,480:854,0.2696252215722084,15.11803131656318,0.8694444444444446,30.615275716420413,0.6013069242277648
143,/home/epicra/YT8M/videos/7/Cose da fare su GTA V Parte 2.mp4,720:1280,0.26511605492876206,14.93369721888289,0.8605555555555556,30.922330495523603,0.6433275085125119
144,/home/epicra/YT8M/videos/7/Cristiano Ronaldo _ Old No. 7 _ 2014 • HD.mp4,240:426,0.2844838704213871,15.58365534787845,0.8761111111111112,34.74768778512758,0.9234145767943633
145,/home/epicra/YT8M/videos/7/Cristiano Ronaldo _ Old No. 7 _ 2014 • HD.mp4,360:640,0.27870435387137665,15.2698965908841,0.8250000000000001,36.58716341543719,0.9615267517086102
146,/home/epicra/YT8M/videos/7/Cristiano Ronaldo _ Old No. 7 _ 2014 • HD.mp4,480:854,0.2654760018829355,14.933016715675786,0.8333333333333335,38.15224711293355,0.9743100222938516
147,/home/epicra/YT8M/videos/7/Cristiano Ronaldo _ Old No. 7 _ 2014 • HD.mp4,720:1280,0.22902712211089535,13.412296827330675,0.7072222222222223,39.285189229561304,0.9790826287855983
148,/home/epicra/YT8M/videos/7/Cute Bear with a Notebook Polymer Clay Tutorial.mp4,240:426,0.14548488764417525,8.854303936247288,0.45199999999999996,40.57128330529129,0.9758975361953545
149,/home/epicra/YT8M/videos/7/Cute Bear with a Notebook Polymer Clay Tutorial.mp4,360:640,0.14039871320860633,8.927335060340885,0.42,41.43773879418856,0.974544251961477
150,/home/epicra/YT8M/videos/7/Cute Bear with a Notebook Polymer Clay Tutorial.mp4,480:854,0.1542735015759774,8.914823036669969,0.4633333333333332,44.43078824797342,0.9850356628983302
151,/home/epicra/YT8M/videos/7/Cute Bear with a Notebook Polymer Clay Tutorial.mp4,720:1280,0.11623763529865898,7.381029184293085,0.3753333333333332,46.218564410241406,0.9883771361063599
