,level_0,level_1,temporal_canny-cosine,temporal_canny-euclidean,temporal_difference-cosine,temporal_difference-euclidean
17,../data/1080p/-8ygLPzgpsg.mp4,../data/480p_rotate_90_counterclockwise/-8ygLPzgpsg.mp4,0.0003126400148560915,0.7099486530726087,0.0001622631952904463,0.2630062522005198
18,../data/1080p/-8ygLPzgpsg.mp4,../data/360p/-8ygLPzgpsg.mp4,1.7953504000245424e-05,0.10910823790233333,0.00026004978235560916,0.32470564477930947
19,../data/1080p/-8ygLPzgpsg.mp4,../data/360p_watermark/-8ygLPzgpsg.mp4,9.479345800711414e-05,0.2614374327962396,0.00040559876292056707,0.4422961193560474
20,../data/1080p/-8ygLPzgpsg.mp4,../data/360p_flip_vertical/-8ygLPzgpsg.mp4,0.00023990483866309642,0.6063360080031968,0.00034071609698194116,0.36532710812510083
21,../data/1080p/-8ygLPzgpsg.mp4,../data/360p_flip_horizontal/-8ygLPzgpsg.mp4,0.0002474788826778429,0.558007562382513,0.0002692436273117327,0.3268627338543324
22,../data/1080p/-8ygLPzgpsg.mp4,../data/360p_rotate_90_clockwise/-8ygLPzgpsg.mp4,0.00027211983871155976,0.669075973192995,0.0003410204089028257,0.3657010607475626
23,../data/1080p/-8ygLPzgpsg.mp4,../data/360p_rotate_90_counterclockwise/-8ygLPzgpsg.mp4,0.0002904594968577978,0.6835554343487482,0.00026589132628274115,0.32325749194833603
24,../data/1080p/-8ygLPzgpsg.mp4,../data/240p/-8ygLPzgpsg.mp4,6.049761921589347e-05,0.19307812055064857,0.0006541616888917634,0.5115015151014546
25,../data/1080p/-8ygLPzgpsg.mp4,../data/240p_watermark/-8ygLPzgpsg.mp4,0.0001391815381820427,0.3071553056903202,0.0009742757358894849,0.7329150552760363
26,../data/1080p/-8ygLPzgpsg.mp4,../data/240p_flip_vertical/-8ygLPzgpsg.mp4,0.0001928498077143903,0.6516662125314543,0.0007357066366758813,0.5527878258467028
27,../data/1080p/-8ygLPzgpsg.mp4,../data/240p_flip_horizontal/-8ygLPzgpsg.mp4,0.00023057513611735025,0.5868381326125659,0.0006975577230633467,0.5319545460430943
28,../data/1080p/-8ygLPzgpsg.mp4,../data/240p_rotate_90_clockwise/-8ygLPzgpsg.mp4,0.0002590173705642185,0.7315166263037953,0.0007573437129629879,0.5596725587505486
29,../data/1080p/-8ygLPzgpsg.mp4,../data/240p_rotate_90_counterclockwise/-8ygLPzgpsg.mp4,0.00028195888606163955,0.7549540584320596,0.0007348377932361316,0.5454625567603024
30,../data/1080p/-8ygLPzgpsg.mp4,../data/144p/-8ygLPzgpsg.mp4,0.00011702281064784881,0.26520653212220824,0.0019121115454405757,0.9006146555976334
31,../data/1080p/-8ygLPzgpsg.mp4,../data/144p_watermark/-8ygLPzgpsg.mp4,0.00018538639711018767,0.36372209348066803,0.0024591626329337757,1.1318664512433991
